d1+Su;d2+Su;d3+Su;d1;d2;d3;x_we;y_we;x_wy;y_wy
3,246349701;5,309054195;6,174717082;3,206243908;5,280151513;6,203224968;-0,2;-3,2;-0,478396201;-3,16904661
3,056670549;5,1443658;5,920930238;3,006659276;5,16139516;6,003332408;-0,2;-3;-0,545459008;-2,918432447
2,76036701;4,994308378;5,748195127;2,80713377;5,047771786;5,803447251;-0,2;-2,8;-0,231860181;-2,746016584
2,624074025;4,89909149;5,4688815;2,607680962;4,939635614;5,60357029;-0,2;-2,6;-0,5223213;-2,473790629
2,453626819;4,81598974;5,430489074;2,408318916;4,837354649;5,403702434;-0,2;-2,4;-0,252546465;-2,429683958
2,179686513;4,703249503;5,241049478;2,209072203;4,741307836;5,203844733;-0,2;-2,2;-0,102484355;-1,17701728
1,879702151;4,565356171;4,978240133;2,009975124;4,65188134;5,003998401;-0,2;-2;-0,093022489;-1,009066549
1,680121408;4,537996284;4,782835279;1,811077028;4,569463864;4,80416486;-0,2;-1,8;-0,132024801;-0,888415493
1,552205019;4,428015064;4,503390104;1,61245155;4,494441011;4,604345773;-0,2;-1,6;-0,262791729;-1,507940418
1,337922965;4,404881467;4,373603003;1,414213562;4,427188724;4,404543109;-0,2;-1,4;-0,129468441;-0,663172853
1,113560735;4,338717382;4,132203515;1,216552506;4,368065934;4,204759208;-0,2;-1,2;-0,129282029;-0,528941758
0,906119902;4,202030597;3,905144338;1,019803903;4,317406629;4,004996879;-0,2;-1;-0,085383016;-0,902897048
0,800034779;4,15069333;3,704168984;0,824621125;4,275511665;3,805259518;-0,2;-0,8;-0,195171837;-0,726614134
0,575172712;4,077115694;3,520329758;0,632455532;4,242640687;3,605551275;-0,2;-0,6;-0,115216484;-0,534795491
0,497983298;4,17833689;3,382136257;0,447213595;4,219004622;3,405877273;-0,2;-0,4;-0,217034206;-0,405958228
0,303608994;4,007113201;3,099151749;0,282842712;4,204759208;3,206243908;-0,2;-0,2;-0,097608818;-0,162716806
0,047816137;4,232988413;2,91764963;0,2;4,2;3,006659276;-0,2;0;-0,062457014;0,046674369
0,230130684;4,142374208;2,727559905;0,282842712;4,204759208;2,80713377;-0,2;0,2;-0,090530172;0,231021253
0,393507351;4,214526939;2,547283968;0,447213595;4,219004622;2,607680962;-0,2;0,4;-0,130146843;0,399846914
0,573105271;4,123884259;2,404203781;0,632455532;4,242640687;2,408318916;-0,2;0,6;-0,05511168;0,580473179
0,907852859;4,190567592;2,189505046;0,824621125;4,275511665;2,209072203;-0,2;0,8;-0,183759974;0,851617656
1,079391628;4,339014616;1,984494679;1,019803903;4,317406629;2,009975124;-0,2;1;-0,240036895;1,041426864
1,243525117;4,223768198;1,765312974;1,216552506;4,368065934;1,811077028;-0,2;1,2;-0,063115409;1,238813677
1,450581195;4,332031797;1,502786271;1,414213562;4,427188724;1,61245155;-0,2;1,4;-0,049188415;1,473434475
1,518476448;4,399947727;1,376867672;1,61245155;4,494441011;1,414213562;-0,2;1,6;-0,073472399;1,570698323
1,738002613;4,535566668;1,143100829;1,811077028;4,569463864;1,216552506;-0,2;1,8;-0,10950067;1,800573387
1,990849366;4,576305973;0,987434319;2,009975124;4,65188134;1,019803903;-0,2;2;-0,076577507;2,003615286
2,183086768;4,624382243;0,812905768;2,209072203;4,741307836;0,824621125;-0,2;2,2;-0,050104697;2,18602584
2,37293092;4,846644616;0,635333228;2,408318916;4,837354649;0,632455532;-0,2;2,4;-0,177873594;2,377744332
2,650284752;4,919274323;0,457043184;2,607680962;4,939635614;0,447213595;-0,2;2,6;-0,203262038;2,621628039
2,727541033;5,063262031;0,314639133;2,80713377;5,047771786;0,282842712;-0,2;2,8;-0,217884203;2,740446749
2,926113721;5,095359761;0,243650471;3,006659276;5,16139516;0,2;-0,2;3;-0,204077024;2,90372384
3,170626891;5,113306048;0,353493633;3,206243908;5,280151513;0,282842712;-0,2;3,2;0,14254091;3,219086168
